ADC_Value,Classification
421,EMPTY
448,EMPTY
467,EMPTY
489,EMPTY
447,EMPTY
447,EMPTY
704,LOW
511,LOW
578,LOW
1250,LOW
1630,MEDIUM
1810,MEDIUM
1866,MEDIUM
1906,MEDIUM
1938,MEDIUM
1973,MEDIUM
1982,MEDIUM
2014,HIGH
2047,HIGH
2034,HIGH
2065,HIGH
2070,HIGH
2076,HIGH
2071,HIGH
2095,FULL
2096,FULL
2101,FULL
2096,FULL
2103,FULL
2108,FULL
2112,FULL
2125,FULL
2127,FULL
2121,FULL
2122,FULL
2114,FULL
2103,FULL
2128,FULL
