Condition,ADC_Value
DRY, 0
DRY, 1
Dry, 59
DRY, 87
DRY, 100
DRY, 142
MOIST, 494
MOIST, 697
MOIST, 819
MOIST, 866
MOIST, 904
MOIST, 932
MOIST, 971
WET, 1146
WET, 1179
WET, 1229
WET, 1252
WET, 1254
WET, 1824
WET, 1857

